PG_1pcCP,PG_1pcCP,G_1pcCP,G_1pcCP,P_1p5pcCP,P_1p5pcCP,PG_1p5pcCP,PG_1p5pcCP,G_1p5pcCP,G_1p5pcCP,P_2pcCP,P_2pcCP,PG_2pcCP,PG_2pcCP,G_2pcCP,G_2pcCP,P_3pc,P_3pc,PG_3pc,PG_3pc,G_3pc,G_3pc,P_5pc,P_5pc,PG_5pc,PG_5pc,G_5pc,G_5pc,P_8pc,P_8pc,PG_8pc,PG_8pc,G_8pc,G_8pc
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.172250327,22.5701972,1.575523527,28.48035868,2.15443469,14.84968262,4.789139756,100,3.473541822,126.1856883,4.757944314,62.80291442,4.908933224,166.8100537,2.282280916,132.1941148,23.02183398,320.2244921,16.25794215,632.5500443,15.3802707,686.9996594,23.57371255,831.7637711,16.64606076,1917.991664,15.3802707,1941.080194,23.02183398,2608.336606,15.87887289,4753.432151,16.12676175,4489.251258
3.306079592,29.8364724,2.226586056,35.93813664,3.364199333,19.6304065,7.111010673,126.1856883,4.908933224,151.9911083,7.070699259,72.20809018,6.937479563,210.4904145,3.388776435,151.9911083,33.63171168,391.4959492,23.71373706,764.2081744,23.01023732,839.2919226,35.26347465,991.6619195,24.27984454,2288.174024,23.01023732,2312.759293,33.63171168,2920.482078,,,27.81338576,5484.416576
4.789139756,39.44206059,3.306079592,45.34878508,4.999478801,25.95024211,10.55857114,159.2282793,7.288882415,183.073828,10.77105056,91.11627561,10.30090867,253.5364494,0.32413775,54.62277218,50.30904699,466.7570744,34.58871487,923.2694536,33.61914164,1000,51.51505364,1152.970464,35.41443585,2661.843278,34.42533825,2790.308191,52.74997064,3481.915135,,,,
7.111010673,52.14008288,4.789139756,59.94842503,7.247947748,31.2571585,15.29499559,200.9233003,10.30090867,220.513074,15.23335977,114.9756995,14.92174941,305.3855509,4.908933224,183.073828,73.49455151,563.5196842,51.65528406,1129.587058,50.29719193,1206.484479,75.25636023,1427.399218,52.88842764,3096.534424,49.11929718,3324.597932,75.25636023,4476.19596,,,,
10.30090867,65.79332247,6.603018123,79.24828984,10.50764463,41.320124,22.15611253,242.0128265,15.29499559,291.5053063,22.0844212,138.4886371,21.61543344,385.3528594,7.288882415,220.513074,107.3653632,680.3419849,77.14274384,1364.697815,75.24902162,1473.93476,112.5745784,1789.481746,77.14274384,3836.556566,75.24902162,3815.238914,109.9391218,5270.091819,,,,
15.29499559,83.02175681,10.30090867,104.7615753,15.23335977,52.14008288,32.09502869,305.3855509,21.61543344,351.1191734,32.81927873,183.073828,32.89783984,509.4138015,10.82267866,265.6087783,160.605834,811.1308308,112.5199442,1712.287327,109.9426956,1823.348001,160.605834,2419.002759,115.2060827,4519.698752,,,,,,,,
22.15611253,109.7498765,15.67757799,138.4886371,22.6380341,65.79332247,47.65534171,403.7017259,33.72073216,422.9242874,48.77216597,220.513074,48.8473718,613.5907273,15.67757799,319.9267138,234.6228848,967.0625057,168.0389024,1966.960418,164.4839395,2283.997647,,,,,,,,,,,,
32.09502869,138.4886371,22.71031594,174.75284,33.64199333,83.02175681,70.75960628,533.6699231,50.0692188,559.0810183,70.70699259,265.6087783,70.75960628,739.0722034,23.27838195,422.9242874,350.9679748,1258.925412,282.3707271,2661.843278,,,,,,,,,,,,,,
47.65534171,191.7910262,32.89783984,231.01297,49.99478801,104.7615753,102.5013567,705.4802311,70.75960628,673.4150658,102.5068028,351.1191734,102.5013567,932.6033469,33.72073216,509.4138015,525.0064138,1539.120871,442.0707733,2661.843278,,,,,,,,,,,,,,
69.03284849,242.0128265,47.65534171,278.2559402,72.47947748,138.4886371,152.1960683,932.6033469,105.0652813,890.2150854,156.1523006,422.9242874,152.1960683,1176.811952,50.0692188,673.4150658,,,521.4505319,3057.746374,,,,,,,,,,,,,,
105.0652813,319.9267138,70.75960628,351.1191734,107.7105056,174.75284,225.9837719,1176.811952,148.4820038,1176.811952,232.0552498,559.0810183,225.9837719,1417.474163,72.52955643,811.1308308,,,600.7427311,3382.182829,,,,,,,,,,,,,,
152.1960683,422.9242874,102.5013567,443.0621458,156.1523006,220.513074,335.5452327,1555.676144,220.4690544,1417.474163,344.8533178,739.0722034,327.3568697,1788.649529,107.6933387,977.0099573,,,,,,,,,,,,,,,,,,
220.4690544,585.7020818,156.0030349,559.0810183,232.0552498,291.5053063,486.0660397,2056.512308,311.5747332,1873.817423,512.4805877,977.0099573,462.6324071,1963.04065,156.0030349,1232.846739,,,,,,,,,,,,,,,,,,
335.5452327,739.0722034,220.4690544,739.0722034,336.4199333,403.7017259,704.1083343,2595.024211,486.0660397,2257.01972,724.7947748,1291.549665,686.9258681,2595.024211,231.6364321,1555.676144,,,,,,,,,,,,,,,,,,
486.0660397,977.0099573,319.3683286,932.6033469,487.7216597,533.6699231,,,686.9258681,3274.549163,,,,,343.9384159,1963.04065,,,,,,,,,,,,,,,,,,
704.1083343,1291.549665,474.2044938,1176.811952,724.7947748,705.4802311,,,,,,,,,510.6866517,2477.076356,,,,,,,,,,,,,,,,,,
,,704.1083343,1629.750835,,,,,,,,,,,739.7734019,2983.64724,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,721.7205954,3593.813664,,,,,,,,,,,,,,,,,,
